t_sec,x,y,yaw,err_x,err_y,err_yaw,cmd_vx,cmd_vy,cmd_wz
1767019999.896495,0.000431,0.006447,1.598368,-0.006432,0.000609,-1.598368,-0.000166,0.000016,-2.000000
1767019999.930206,0.000431,0.006447,1.598368,-0.006432,0.000609,-1.598368,-0.000166,0.000016,-2.000000
1767019999.963492,0.000431,0.006447,1.598368,-0.006432,0.000609,-1.598368,-0.000166,0.000016,-2.000000
1767019999.996614,0.013497,0.002073,1.598493,-0.001698,0.013549,-1.598493,0.001200,0.004274,-2.000000
1767020000.030073,0.013497,0.002073,1.598493,-0.001698,0.013549,-1.598493,-0.000093,0.000740,-2.000000
1767020000.063043,0.013497,0.002073,1.598493,-0.001698,0.013549,-1.598493,-0.000093,0.000740,-2.000000
1767020000.096913,0.011514,0.006964,1.529947,-0.007428,0.011220,-1.529947,-0.001942,-0.000023,-2.000000
1767020000.129691,0.011514,0.006964,1.529947,-0.007428,0.011220,-1.529947,-0.000400,0.000604,-2.000000
1767020000.163606,0.011514,0.006964,1.529947,-0.007428,0.011220,-1.529947,-0.000400,0.000604,-2.000000
1767020000.196281,0.002652,0.002394,1.375873,-0.002863,0.002138,-1.375873,0.000285,-0.000618,-2.000000
1767020000.229764,0.002652,0.002394,1.375873,-0.002863,0.002138,-1.375873,-0.000041,0.000031,-2.000000
1767020000.263543,0.002652,0.002394,1.375873,-0.002863,0.002138,-1.375873,-0.000041,0.000031,-2.000000
1767020000.297122,-0.011051,-0.016478,1.220386,0.019270,-0.004723,-1.220386,0.010311,-0.003097,-1.741082
1767020000.330445,-0.011051,-0.016478,1.220386,0.019270,-0.004723,-1.220386,0.001529,-0.000375,-2.000000
1767020000.363791,-0.011051,-0.016478,1.220386,0.019270,-0.004723,-1.220386,0.001529,-0.000375,-2.000000
1767020000.396982,-0.026452,-0.010458,1.072587,0.021827,-0.018239,-1.072587,0.003938,-0.009764,-1.480074
1767020000.430364,-0.026452,-0.010458,1.072587,0.021827,-0.018239,-1.072587,0.002483,-0.002075,-2.000000
1767020000.463032,-0.026452,-0.010458,1.072587,0.021827,-0.018239,-1.072587,0.002483,-0.002075,-2.000000
1767020000.496282,-0.015871,-0.000279,0.926449,0.009757,-0.012521,-0.926449,-0.003212,0.001020,-1.195279
1767020000.530344,-0.015871,-0.000279,0.926449,0.009757,-0.012521,-0.926449,0.000619,-0.000795,-1.852898
1767020000.563401,-0.015871,-0.000279,0.926449,0.009757,-0.012521,-0.926449,0.000619,-0.000795,-1.852898
1767020000.597234,-0.002475,0.001572,0.778987,0.000657,-0.002858,-0.778987,-0.000526,0.000533,-0.894395
1767020000.630206,-0.002475,0.001572,0.778987,0.000657,-0.002858,-0.778987,0.000008,-0.000034,-1.557974
1767020000.663743,-0.002475,0.001572,0.778987,0.000657,-0.002858,-0.778987,0.000008,-0.000034,-1.557974
1767020000.696324,-0.006479,0.002414,0.643319,0.003736,-0.005818,-0.643319,0.000529,-0.000570,-0.676134
1767020000.729967,-0.006479,0.002414,0.643319,0.003736,-0.005818,-0.643319,0.000103,-0.000161,-1.286639
1767020000.763469,-0.006479,0.002414,0.643319,0.003736,-0.005818,-0.643319,0.000103,-0.000161,-1.286639
1767020000.796443,-0.005597,-0.008520,0.509630,0.009042,0.004707,-0.509630,0.001451,0.002338,-0.417654
1767020000.829634,-0.005597,-0.008520,0.509630,0.009042,0.004707,-0.509630,0.000369,0.000192,-1.019259
1767020000.863262,-0.005597,-0.008520,0.509630,0.009042,0.004707,-0.509630,0.000369,0.000192,-1.019259
1767020000.896428,-0.016196,0.011486,0.382901,0.010732,-0.016705,-0.382901,0.001523,-0.009829,-0.195520
1767020000.929734,-0.016196,0.011486,0.382901,0.010732,-0.016705,-0.382901,0.000852,-0.001327,-0.765801
